Format Version,1.25,Take Name,Take 2025-04-28 04.26.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.26.56.086 PM,Capture Start Frame,288444,Total Frames in Take,1575,Total Exported Frames,1575,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
230,1.916667,-34.665394,7.304619,-14.854413,-16.828787,-58.471893,416.159485
231,1.925000,-34.581245,7.201119,-14.988671,-16.596210,-58.831181,415.973145
232,1.933333,-34.470905,7.122656,-15.096826,-16.382641,-59.153996,415.807739
233,1.941667,-34.379093,7.052637,-15.210505,-16.176601,-59.484612,415.621948
234,1.950000,-34.320812,6.960015,-15.335279,-15.976056,-59.809116,415.448181
235,1.958333,-34.270531,6.885584,-15.436137,-15.790129,-60.134762,415.300385
236,1.966667,-34.272224,6.816429,-15.526608,-15.604160,-60.466095,415.161469
237,1.975000,-34.264782,6.760139,-15.589384,-15.421567,-60.797531,415.053833
238,1.983333,-34.280128,6.668935,-15.631339,-15.229202,-61.108723,414.932953
239,1.991667,-34.280682,6.584556,-15.645532,-15.016474,-61.403275,414.815796
240,2.000000,-34.279419,6.492439,-15.631781,-14.795134,-61.662983,414.720734
241,2.008333,-34.323849,6.411994,-15.610423,-14.563333,-61.897469,414.566406
242,2.016667,-34.283314,6.281880,-15.564039,-14.333507,-62.081806,414.407593
243,2.025000,-34.241741,6.192513,-15.514727,-14.121284,-62.229713,414.228302
244,2.033333,-34.199627,6.112591,-15.485031,-13.935831,-62.357483,414.010895
245,2.041667,-34.091022,6.054118,-15.483175,-13.801118,-62.447216,413.772705
246,2.050000,-33.961079,6.007029,-15.508954,-13.703268,-62.526955,413.549805
247,2.058333,-33.844006,5.995413,-15.577063,-13.636997,-62.620155,413.304749
248,2.066667,-33.735043,6.009140,-15.686945,-13.617275,-62.738941,413.073486
249,2.075000,-33.628124,6.028324,-15.800370,-13.627149,-62.889530,412.903687
250,2.083333,-33.597954,6.076446,-15.867923,-13.641974,-63.074207,412.765656
251,2.091667,-33.631969,6.136306,-15.866002,-13.672767,-63.342503,412.677307
252,2.100000,-33.734253,6.196001,-15.807370,-13.702860,-63.668243,412.638763
253,2.108333,-33.845379,6.275280,-15.713845,-13.734267,-64.040077,412.646393
254,2.116667,-33.955109,6.350914,-15.639170,-13.770257,-64.429054,412.635437
255,2.125000,-34.015430,6.432942,-15.586995,-13.820375,-64.815872,412.604431
256,2.133333,-34.058338,6.505728,-15.579926,-13.878550,-65.183968,412.551208
257,2.141667,-34.030525,6.587106,-15.612791,-13.929472,-65.519333,412.444641
258,2.150000,-33.929794,6.651390,-15.666258,-13.983783,-65.800270,412.320679
259,2.158333,-33.837524,6.720337,-15.700815,-14.048226,-66.041115,412.166840
260,2.166667,-33.712078,6.825484,-15.706127,-14.124992,-66.263893,411.970032
261,2.175000,-33.607647,6.928870,-15.686325,-14.230290,-66.481041,411.788910
262,2.183333,-33.522266,7.045173,-15.648667,-14.376641,-66.718307,411.602356
263,2.191667,-33.479954,7.139833,-15.633309,-14.544669,-66.974586,411.504578
264,2.200000,-33.482491,7.236630,-15.605282,-14.700896,-67.257881,411.433777
265,2.208333,-33.541138,7.353494,-15.560015,-14.832533,-67.560898,411.397675
266,2.216667,-33.617645,7.420881,-15.522902,-14.928345,-67.888741,411.379852
267,2.225000,-33.699272,7.475184,-15.460493,-14.982475,-68.196899,411.395203
268,2.233333,-33.808681,7.411896,-15.407952,-14.956964,-68.519073,411.405060
269,2.241667,-33.917801,7.370865,-15.339715,-14.894341,-68.825455,411.444763
270,2.250000,-34.038647,7.255116,-15.309606,-14.799059,-69.143013,411.493530
271,2.258333,-34.135910,7.141369,-15.310201,-14.688102,-69.450104,411.527985
272,2.266667,-34.228703,7.046379,-15.343983,-14.585099,-69.769577,411.584015
273,2.275000,-34.322918,6.970637,-15.410311,-14.483460,-70.082100,411.646759
274,2.283333,-34.441124,6.903072,-15.483967,-14.411333,-70.395058,411.693848
275,2.291667,-34.535126,6.876207,-15.543410,-14.364819,-70.705704,411.749786
276,2.300000,-34.645107,6.845041,-15.612281,-14.318171,-71.014893,411.834991
277,2.308333,-34.729309,6.808886,-15.659706,-14.241946,-71.290443,411.894104
278,2.316667,-34.853531,6.732535,-15.658161,-14.128405,-71.572861,411.963745
